"country","year","ca_balance_perGDP","gov_revenue_perGDP","gdp_per_capita_usd","military_expenditure_usd"
"Liberia",2020,-16.399,31.266,597.529691893048,12123500
"Libya",2020,-8.475,35.069,7568.04201096325,NA
"Lithuania",2020,7.3,34.723,20339.5212699052,1174056765.07466
"Luxembourg",2020,4.08,43.304,117370.496900162,405790493.559786
"Macao SAR",2020,14.867,27.783,37646.3161952623,NA
"Madagascar",2020,-5.375,12.398,462.404223694817,87357752.0692398
"Malawi",2020,-13.77,14.546,628.699481965162,89409367.9509825
"Malaysia",2020,4.167,20.16,10160.7832470071,3374583531.65159
"Maldives",2020,-35.532,26.441,7282.35848902548,NA
"Mali",2020,-2.199,20.516,822.906143972366,593865883.538673
"Malta",2020,4.602,36.365,28977.5655673636,67983586.0025077
"Marshall Islands",2020,22.165,69.633,5567.97272706332,NA
"Mauritania",2020,-6.692,20.949,1868.4665735741,198530037.214248
"Mauritius",2020,-8.797,21.613,9007.41910231356,18478399.3883013
"Mexico",2020,2.09,24.151,8655.00068206803,8044880863.7379
"Micronesia",2020,3.661,62.278,3639.41269869588,NA
"Moldova",2020,-7.692,31.369,4500.62446389838,44533780.6571032
"Mongolia",2020,-5.067,27.884,4041.17419587656,112178387.650086
"Montenegro",2020,-26.052,43.416,7677.15222569996,82981876.2111022
"Morocco",2020,-1.166,26.999,3258.12133789063,4830956393.51169
"Mozambique",2020,-27.332,27.495,449.95520984244,288258945.94244
"Myanmar",2020,-3.384,16.038,1477.45287032594,2498229137.93854
"Namibia",2020,2.559,33.413,4251.17276622988,368224738.887539
"Nauru",2020,2.527,156.04,9307.88676841439,NA
"Nepal",2020,-1.013,22.245,1139.19027666733,435462088.408329
"Netherlands",2020,5.142,43.292,52162.5701150406,13085717542.4598
"New Zealand",2020,-1.035,37.772,41596.5055023403,3034587929.91564
"Nicaragua",2020,3.947,26.923,1863.10925664373,79343309.6033706
"Niger",2020,-13.213,17.55,564.822001755189,238269588.33649
"Nigeria",2020,-3.723,6.501,2074.61392802438,2567917819.04386
"North Macedonia",2020,-2.93,28.354,5965.45023195365,153537482.895077
"Norway",2020,1.103,54.162,67329.6777910967,7269880029.72715
"Oman",2020,-16.637,29.621,16707.6230063214,6095708712.61378
"Pakistan",2020,-1.481,13.265,1322.31503608163,10394502554.7242
"Palau",2020,-45.139,49.581,14016.2474961051,NA
"Panama",2020,-0.351,18.269,12569.1715435651,0
"Papua New Guinea",2020,19.705,14.656,2446.06630562295,85887096.7741936
"Paraguay",2020,2.707,18.694,5353.34806456279,364342199.983714
"Peru",2020,1.189,17.842,6056.34390291445,2653592900.08589
"Philippines",2020,3.201,20.381,3224.42255131214,3732673666.39125
"Poland",2020,2.483,41.324,15816.989398397,13718291431.5033
"Portugal",2020,-1.039,43.407,22242.406417972,4302975037.04548
"Puerto Rico",2020,NA,20.834,31393.9073690446,NA
"Qatar",2020,-1.98,35.971,52315.6600783116,NA
"Republic of Congo",2020,13.452,21.876,1838.44813852491,298382191.947452
"Romania",2020,-4.941,28.618,13047.4320617591,5052321470.65755
"Russia",2020,2.377,35.164,10169.0869140625,61712537168.9371
"Rwanda",2020,-12.052,23.892,774.689259444614,147873731.887278
"Samoa",2020,0.171,35.973,4042.75122353237,NA
"San Marino",2020,2.782,21.586,45320.2087156066,NA
"Saudi Arabia",2020,-3.107,28.388,19539.5658107346,64558400000
"Senegal",2020,-10.866,20.159,1490.20313694645,345637478.930266
"Serbia",2020,-4.12,40.966,7733.80286920471,1121211783.40862
"Seychelles",2020,-13.48,33.96,12808.9874683728,18814132.4626866
"Sierra Leone",2020,-7.073,19.967,493.478777501977,22374596.4756382
"Singapore",2020,16.451,17.509,60729.4503486794,9978571428.57143
"Slovak Republic",2020,0.552,39.406,19545.7428171932,2047190242.79038
"Slovenia",2020,7.555,43.436,25545.2410027136,567650746.608914
"Solomon Islands",2020,-1.631,30.991,2222.4656361989,NA
"Somalia",2020,-10.491,7.22,416.217774718244,98160000
"South Africa",2020,1.972,25.011,5741.64312911877,3231017731.35778
"South Sudan",2020,-19.181,28.981,NA,128916014.125595
"Spain",2020,0.607,41.823,26959.6754367326,17431779322.9226
"Sri Lanka",2020,-1.391,8.67,3893.84151516764,1529361954.58713
"St. Kitts and Nevis",2020,-10.882,35.023,18566.0955863718,NA
"St. Lucia",2020,-15.298,22.174,8458.1627606739,NA
"St. Vincent and the Grenadines",2020,-15.681,28.531,8335.25647560551,NA
"Sudan",2020,-17.45,4.819,608.33251953125,934311153.803525
"Suriname",2020,9.011,18.423,4796.53331389928,NA
"Sweden",2020,5.887,48.252,52837.9039778149,6271285838.40139
"Switzerland",2020,0.423,34.087,85656.322666307,6389669861.55485
"Syria",2020,NA,NA,533.3852317094,NA
"São Tomé and Príncipe",2020,-11.019,29.038,2161.31019577016,NA
"Taiwan Province of China",2020,14.194,15.246,NA,NA
"Tajikistan",2020,4.13,24.824,852.333670212118,80370009.7370984
"Tanzania",2020,-1.908,14.314,1042.0966796875,659313034.174651
"Thailand",2020,4.182,20.633,6990.93550262041,7268823905.40109
