country,trade_balance,government_revenue,GDP_per_capita,military_expenditure,tourist_arrivals,dog_ownership,cat_ownership,box_office_numbers,happiness,life_expectancy,mean_years_of_schooling,forest_area,renewables
Georgia,-3.13,26.87,17144.66,302.14,1513,0,0,4368.627,5.109,71.7,12.8,2822.4,76.19
Germany,4.2,47.08,54046.73,56017.03,12449,10600,15200,29573.98,6.892,80.6,14.1,11419,43.48
Ghana,-2.25,15.63,5741.53,298.35,0,0,0,406.799,4.605,63.8,8.3,7985.71,
Greece,-9.68,51.53,31258.86,8079.94,7406,657,608,84287.917,5.931,80.1,11.4,3901.8,43.17
Grenada,-17.74,33.78,15885.85,,217,0,0,0,,74.9,9,17.7,
Guatemala,1.84,12.84,8489.05,341.78,594,0,0,1069.363,6.15,69.2,5.7,3527.8,
Guinea,-6.21,13.1,2548.89,244.56,0,0,0,0,5.072,58.9,2.2,6189,
Guinea Bissau,-5.85,16.04,2449,26.34,0,0,0,0,,59.7,3.6,0,
Guyana,27.27,15.37,36162.44,70.7,86.4,0,0,0,,65.7,8.6,18415.34,
Haiti,-2.34,8.01,2677.36,20.91,0,0,0,41.873,,63.2,5.6,347.3,
Honduras,-3.43,25.11,5786.05,438.11,669,0,0,0,6.023,70.1,7.1,6359.26,
Hong Kong SAR,10.73,20.94,58566.56,,3569,0,0,0,5.308,85.5,12.2,0,
Hungary,-8.15,43.89,35608.22,2777.13,31641,2172,2388,570585.777,6.041,74.5,12.2,2053.01,21.59
Iceland,-1.54,41.8,56330.58,,488,0,0,145415.983,7.53,82.7,13.8,51.35,99.99
India,-2.61,19.2,7054.26,76598.03,0,10200,0,8183021.385,4.036,67.2,6.7,72160,20.5
Indonesia,1,15.2,12438.76,8259.28,4053,0,0,18434.789,5.277,67.6,8.6,92133.2,19.61
Iran,4.74,8.27,15782.71,24589.09,1550,0,0,85876.861,4.876,73.9,10.6,10751.87,2.71
Iraq,11.62,41.42,10435.97,4728.17,0,0,0,304.301,4.941,70.4,7.9,825,3.17
Ireland,8.8,23.31,113308.75,1267.74,0,0,355,1364656.372,6.911,82,11.6,782.02,38.6
Israel,3.65,37.01,44335.46,24340.98,0,0,0,127938.263,7.473,82.3,13.3,140,9.51
Italy,-0.73,48.79,43910.3,32006.14,38419,8755,10228,4616705.364,6.405,82.9,10.7,9566.13,36.17
Jamaica,-3.18,29.37,10297.81,209.82,1329.7,0,0,82.978,5.703,70.5,9.2,596.89,
Japan,2.12,36.19,41536.25,54123.55,4115.8,12000,7300,18426642.15,6.129,84.8,13.4,24935,21.96
Jordan,-7.42,26.14,10252.51,2176.76,1240,0,0,1375.79,4.12,74.3,10.4,97.5,
Kazakhstan,2.77,21.78,25868.18,1617.79,2035,0,0,28819.388,6.144,69.4,12.3,3454.68,11.34
Kenya,-4.72,17.44,5203.6,1113.29,0,0,0,4118.104,4.487,61.4,6.7,3611.09,89.72
Kiribati,-3.99,91.36,1923.62,,0,0,0,0,,67.4,8,1.18,
Kosovo,-10.79,27.84,12316.83,,0,0,0,3014.936,6.368,,,0,6.51
Kuwait,28.49,52.24,43591.73,9024.34,2161,0,0,96775.326,,78.7,7.3,6.25,0.07
Kyrgyzstan,-26.79,38.53,5022.13,124.85,0,0,0,1.238,5.825,70,11.4,1315.38,
Laos,-5.96,14.9,7797.81,,886.4,0,0,856.821,5.111,68.1,5.4,16595.5,
Latvia,-6.31,35.62,32644.05,826.63,3204,270,410,53699.23,6.213,73.6,13.3,3410.79,71.99
Lebanon,,,,,0,0,0,87382.532,2.392,75,8.7,143.33,
Lesotho,-4.38,44.46,2625.82,37.04,0,0,0,3.355,,53.1,6,34.52,
Liberia,-15.75,22.94,1431.23,14.05,0,0,0,0,4.042,60.7,5.1,7617.44,
Libya,2.65,63.44,17241.88,,0,0,0,1522.008,,71.9,7.6,217,
Lithuania,-4.47,35.75,39895.98,1240.54,2284,550,605,27360.005,6.763,73.7,13.5,2201,74.7
Luxembourg,4.02,43.09,117038.2,460.03,525,0,0,280332.774,7.228,82.6,13,88.7,85.37
Macao SAR,-23.53,25,46757.9,,0,0,0,25.021,,,,0,
Madagascar,-5.58,13.57,1542.34,99.19,87.1,0,0,0,4.019,64.5,5.1,12429.81,
Malawi,-3.59,14.03,1378.63,83.29,0,0,0,0,3.495,62.9,4.5,2241.7,
Malaysia,2.64,18.97,29126.93,3830.23,4333,0,0,53695.818,6.012,74.9,10.6,19114.04,19.1
Maldives,-18.11,29.71,28124.72,,555,0,0,993.251,,79.9,7.3,0.82,
Mali,-6.93,19.91,2129.54,558.38,0,0,0,1.939,4.198,58.9,2.3,13296,
Malta,0.66,35.64,49182.35,84.91,718,0,0,520548.489,6.3,83.8,12.2,0.46,14.59
Marshall Islands,-7.57,60.47,3727.84,,0,0,0,0,,65.3,10.9,0,
Mauritania,-14.27,24.42,5939.24,230.94,0,0,0,6817.76,4.724,64.4,4.9,312.8,
Mauritius,-13.49,23.85,22740.89,19.74,316,0,0,135.802,5.902,73.6,10.4,38.77,
Mexico,-0.95,25.8,19247.26,8680.83,51128,0,0,2139742.142,6.33,70.2,9.2,65692.08,22.79
Micronesia,1.06,68.03,3123.27,,0,0,0,0,,70.7,7.8,64.42,
Moldova,-13.12,33.52,13226.4,52.29,29,0,0,64.211,5.819,68.8,11.8,386.5,7.13
Monaco,,,,,159,0,0,6056.333,,85.9,  ,0,
Mongolia,-15.76,35.17,11832.14,108.26,66.9,0,0,14692.708,5.84,71,9.4,14172.78,8.8
