country,Trade Balance (% of GDP),Government Revenue (% of GDP),GDP per Capita (in USD),Military Expenditure (in million USD),Int'l Tourist Arrivals,Dog Ownership,Cat Ownership,Bird Ownership,Aquaria Ownership,Smal Mammal Ownership,Terraria Ownership,Movie Production,Global Box Office (in USD),Air Quality,Hapiness Score,Life expectancy at birth,Mean years of schooling,Income per capita,Gender Inequality Index
Dominica,-26.7,44.24,11071.28,,140000,,,,,,,,,8.22,,72.8,8.1,"11,488",  
Dominican Republic,-5.81,15.45,20440.74,581.62,2748000,,,,,,,34,"11,545,683",7.59,5.569,72.6,9.3,"17,990",0.429
Ecuador,2.23,36.12,10865.67,2417,,,,,,,,9,"2,742",16.55,5.559,73.7,8.8,"10,312",0.362
Egypt,-3.48,18.92,13618.84,5165.45,,,,,,,,68,"10,897,835",63.16,4.17,70.2,9.6,"11,732",0.443
El Salvador,-8.34,26.49,9306.92,382.6,707000,,,,,,,2,0,22.15,6.122,70.7,7.2,"8,296",0.376
Equatorial Guinea,0.05,17,15850.7,170.18,,,,,,,,,,25.67,,60.6,5.9,"12,074",  
Eritrea,12.93,36.7,1766.33,,,,,,,,,,,22.74,,66.5,4.9,"1,729",  
Estonia,-2.18,39.03,38286.14,763.95,1695000,235000,290000,,,,,45,"33,273,851",6.35,6.455,77.1,13.5,"38,048",0.1
Eswatini,-1.65,25.28,9215.95,81.06,345300,,,,,,,,,15.07,,57.1,5.6,"7,679",0.54
Ethiopia,-4.26,8.54,2909.06,487.85,518000,5000000,,,,,,10,"113,927",21.8,4.091,65,3.2,"2,361",0.52
Fiji,-12.13,21.77,12057.83,70.48,168000,,,,,,,1,0,7.36,,67.1,10.9,"9,980",0.318
Finland,-4.24,52.19,49672.66,5903.5,896000,781000,982000,56000,40000,157000,29000,181,"757,275,166",5.47,7.804,82,12.9,"49,452",0.033
France,-1.71,53.62,47788.45,56647,117109000,7600000,14900000,5800000,1252000,2800000,2100000,"4,253","21,089,734,238",10.46,6.661,82.5,11.6,"45,937",0.083
Gabon,1.19,17.43,15389.55,311.45,,,,,,,,1,"23,866",26.29,5.035,65.8,9.4,"13,367",0.541
Gambia,-15.02,16.84,2230.43,14.71,,,,,,,,,,39.1,4.279,62.1,4.6,"2,172",0.611
Georgia,-3.13,26.87,17144.66,302.14,1513000,,,,,,,33,"4,368,627",19.06,5.109,71.7,12.8,"14,664",0.28
Germany,4.2,47.08,54046.73,56017.03,12449000,10600000,15200000,4900000,2300000,4900000,1300000,"2,053","11,035,157,672",10.73,6.892,80.6,14.1,"54,534",0.073
Germany,4.2,47.08,54046.73,56017.03,12449000,10600000,15200000,4900000,2300000,4900000,1300000,15,"29,573,980",10.73,6.892,80.6,14.1,"54,534",0.073
Ghana,-2.25,15.63,5741.53,298.35,,,,,,,,11,"406,799",46.04,4.605,63.8,8.3,"5,745",0.529
Greece,-9.68,51.53,31258.86,8079.94,7406000,657000,608000,974000,90000,417000,6000,101,"84,287,917",14.62,5.931,80.1,11.4,"29,002",0.119
Grenada,-17.74,33.78,15885.85,,217000,,,,,,,,,10.08,,74.9,9,"13,484",  
Guatemala,1.84,12.84,8489.05,341.78,594000,,,,,,,9,"1,069,363",20.75,6.15,69.2,5.7,"8,723",0.481
Guinea,-6.21,13.1,2548.89,244.56,,,,,,,,,,37.57,5.072,58.9,2.2,"2,481",0.621
Guinea-Bissau,-5.85,16.04,2449,26.34,,,,,,,,1,0,34.85,,59.7,3.6,"1,908",0.627
Guyana,27.27,15.37,36162.44,70.7,86400,,,,,,,,,11.11,,65.7,8.6,"22,465",0.454
Haiti,-2.34,8.01,2677.36,20.91,,,,,,,,7,"41,873",9.69,,63.2,5.6,"2,848",0.635
Honduras,-3.43,25.11,5786.05,438.11,669000,,,,,,,1,0,18.93,6.023,70.1,7.1,"5,298",0.431
Hong Kong SAR,10.73,20.94,58566.56,,3569000,,,,,,,,,,5.308,85.5,12.2,"62,607",  
Hungary,-8.15,43.89,35608.22,2777.13,31641000,2172000,2388000,412000,90000,398000,60000,142,"570,585,777",14.24,6.041,74.5,12.2,"32,789",0.221
Iceland,-1.54,41.8,56330.58,0,488000,,,,,,,79,"145,415,983",5.79,7.53,82.7,13.8,"55,782",0.043
India,-2.61,19.2,7054.26,76598.03,,10200000,,,,,,"2,565","8,183,021,385",50.17,4.036,67.2,6.7,"6,590",0.49
Indonesia,1,15.2,12438.76,8259.28,4053000,,,,,,,75,"18,434,789",19.34,5.277,67.6,8.6,"11,466",0.444
Iran,4.74,8.27,15782.71,24589.09,1550000,,,,,,,105,"85,876,861",,4.876,73.9,10.6,"13,001",0.459
Iraq,11.62,41.42,10435.97,4728.17,,,,,,,,15,"304,301",39.29,4.941,70.4,7.9,"9,977",0.558
Ireland,8.8,23.31,113308.75,1267.74,,,355000,92000,27000,162000,20000,370,"1,364,656,372",8.2,6.911,82,11.6,"76,169",0.074
Israel,3.65,37.01,44335.46,24340.98,,,,,,,,231,"127,938,263",19.47,7.473,82.3,13.3,"41,524",0.083
Italy,-0.73,48.79,43910.3,32006.14,38419000,8755000,10228000,12882000,1500000,1816000,1366000,"1,973","4,616,705,364",14.22,6.405,82.9,10.7,"42,840",0.056
Jamaica,-3.18,29.37,10297.81,209.82,1329700,,,,,,,7,"82,978",14.83,5.703,70.5,9.2,"8,834",0.335
Japan,2.12,36.19,41536.25,54123.55,4115800,12000000,7300000,,,,,"2,000","18,426,642,146",10.84,6.129,84.8,13.4,"42,274",0.083
Jordan,-7.42,26.14,10252.51,2176.76,1240000,,,,,,,10,"1,375,790",25.87,4.12,74.3,10.4,"9,924",0.471
Kazakhstan,2.77,21.78,25868.18,1617.79,2035000,,,,,,,34,"28,819,388",26.5,6.144,69.4,12.3,"23,943",0.161
Kenya,-4.72,17.44,5203.6,1113.29,,,,,,,,19,"4,118,104",12.52,4.487,61.4,6.7,"4,474",0.506
Kiribati,-3.99,91.36,1923.62,,,,,,,,,1,0,7.62,,67.4,8,"4,063",  
Kosovo,-10.79,27.84,12316.83,,,,,,,,,12,"3,014,936",,6.368,,,,
Kuwait,28.49,52.24,43591.73,9024.34,2161000,,,,,,,7,"96,775,326",64.08,,78.7,7.3,"52,920",0.305
Kyrgyzstan,-26.79,38.53,5022.13,124.85,,,,,,,,7,"1,238",37.58,5.825,70,11.4,"4,566",0.37
Laos,-5.96,14.9,7797.81,,886400,,,,,,,4,"856,821",21.15,5.111,68.1,5.4,"7,700",0.478
Latvia,-6.31,35.62,32644.05,826.63,3204000,270000,410000,,,,,49,"53,699,230",12.02,6.213,73.6,13.3,"32,803",0.151
Lebanon,,,,,,,,,,,,47,"87,382,532",24.23,2.392,75,8.7,"9,526",0.432
Lesotho,-4.38,44.46,2625.82,37.04,,,,,,,,2,"3,355",17.6,,53.1,6,"2,700",0.557
Liberia,-15.75,22.94,1431.23,14.05,,,,,,,,1,0,35.8,4.042,60.7,5.1,"1,289",0.648
Libya,2.65,63.44,17241.88,,,,,,,,,3,"1,522,008",29.84,,71.9,7.6,"15,336",0.259
Lithuania,-4.47,35.75,39895.98,1240.54,2284000,550000,605000,,,,,125,"27,360,005",10.37,6.763,73.7,13.5,"37,931",0.105
Luxembourg,4.02,43.09,117038.2,460.03,525000,,,,,,,120,"280,332,774",8.89,7.228,82.6,13,"84,649",0.044
Macao SAR,-23.53,25,46757.9,,,,,,,,,2,"25,021",,,,,,
Madagascar,-5.58,13.57,1542.34,99.19,87100,,,,,,,1,0,16.02,4.019,64.5,5.1,"1,484",0.556
Malawi,-3.59,14.03,1378.63,83.29,,,,,,,,1,0,18.57,3.495,62.9,4.5,"1,466",0.554
Malaysia,2.64,18.97,29126.93,3830.23,4333000,,,,,,,43,"53,695,818",21.52,6.012,74.9,10.6,"26,658",0.228
Maldives,-18.11,29.71,28124.72,,555000,,,,,,,2,"993,251",13,,79.9,7.3,"15,448",0.348
Mali,-6.93,19.91,2129.54,558.38,,,,,,,,2,"1,939",38.55,4.198,58.9,2.3,"2,133",0.613
Malta,0.66,35.64,49182.35,84.91,718000,,,,,,,16,"520,548,489",12.93,6.3,83.8,12.2,"38,884",0.167
Marshall Islands,-7.57,60.47,3727.84,,,,,,,,,,,7.21,,65.3,10.9,"4,620",  
Mauritania,-14.27,24.42,5939.24,230.94,,,,,,,,2,"6,817,760",41.98,4.724,64.4,4.9,"5,075",0.632
Mauritius,-13.49,23.85,22740.89,19.74,316000,,,,,,,1,"135,802",10.48,5.902,73.6,10.4,"22,025",0.347
Mexico,-0.95,25.8,19247.26,8680.83,51128000,,,,,,,620,"2,139,742,142",17.83,6.33,70.2,9.2,"17,896",0.309
