country,trade_balance_perGDP,gov_revenue_perGDP,GDP per capita (in USD),military_expenditure_mil,number-of-visitors,dog,cat,bird,aquaria,small-mammal,terraria,number-of-movies,global-box-office-usd
Cyprus,-8.83,42.12,43849.4,517.5,,,,,,,,17,"78,65,740"
Czech Republic,-2.16,41.25,41855.54,3935.63,,2211000,1364000,69000,80000,,5000,411,"73,78,18,561"
Cote d'Ivoire,-6.54,14.72,5525.01,637.66,,,,,,,,2,"49,967"
Democratic Republic of the Congo,-2.22,17.19,1167.88,306.08,,,,,,,,5,"84,087"
Denmark,12.82,51.67,60067.11,5391.22,15595000,617000,669000,202000,280000,373000,110000,327,"85,75,41,542"
Djibouti,-5,18.56,5479.47,,,,,,,,,1,"9,93,251"
Dominica,-26.7,44.24,11071.28,,140000,,,,,,,,
Dominican Republic,-5.81,15.45,20440.74,581.62,2748000,,,,,,,34,"1,15,45,683"
Ecuador,2.23,36.12,10865.67,2417,,,,,,,,9,"2,742"
Egypt,-3.48,18.92,13618.84,5165.45,,,,,,,,68,"1,08,97,835"
El Salvador,-8.34,26.49,9306.92,382.6,707000,,,,,,,2,0
Equatorial Guinea,0.05,17,15850.7,170.18,,,,,,,,,
Eritrea,12.93,36.7,1766.33,,,,,,,,,,
Estonia,-2.18,39.03,38286.14,763.95,1695000,235000,290000,,,,,45,"3,32,73,851"
Eswatini,-1.65,25.28,9215.95,81.06,345300,,,,,,,,
Ethiopia,-4.26,8.54,2909.06,487.85,518000,5000000,,,,,,10,"1,13,927"
Fiji,-12.13,21.77,12057.83,70.48,168000,,,,,,,1,0
Finland,-4.24,52.19,49672.66,5903.5,896000,781000,982000,56000,40000,157000,29000,181,"75,72,75,166"
France,-1.71,53.62,47788.45,56647,117109000,7600000,14900000,5800000,1252000,2800000,2100000,"4,253","21,08,97,34,238"
Gabon,1.19,17.43,15389.55,311.45,,,,,,,,1,"23,866"
Georgia,-3.13,26.87,17144.66,302.14,1513000,,,,,,,33,"43,68,627"
Germany,4.2,47.08,54046.73,56017.03,12449000,10600000,15200000,4900000,2300000,4900000,1300000,"2,053","11,03,51,57,672"
Germany,4.2,47.08,54046.73,56017.03,12449000,10600000,15200000,4900000,2300000,4900000,1300000,15,"2,95,73,980"
Ghana,-2.25,15.63,5741.53,298.35,,,,,,,,11,"4,06,799"
