Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5153.298211,4473.519088,2634.963124,2484.552329,2683.637533,2912.781057,3105.952781,3236.060508,3505.368402,3660.03412,3921.857522,4346.907506,4965.224359,5698.778477,6334.856153,7259.203892,8273.7857,9476.471494,10201.55945,8819.677459,9068.787651,9551.158131,10289.97563,10677.30365,11105.5325,11506.03899,11580.38364,12509.63961,13231.43107,14317.55287,13357.69706,14206.54457,16057.00646
American Samoa,ASM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17016.86476,17303.63926,17226.61576,17812.46743,18651.02358,17492.10059,18273.33281,18888.89439,19413.46195,19792.59853,20674.81626,19434.16344,19384.5842,20330.73264,21267.31688,22381.02439,24905.3038,26853.21073,26451.05877,22933.36738,20848.91352,20196.86769,20266.72839,20175.81955,20451.21897,20584.14786,21280.64369,21672.04489,23050.68498,23638.68524,19062.41258,20501.16247,22321.87002
Australia,AUS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30897.96514,30390.13512,30180.31048,31123.06437,32051.4941,32927.3337,33786.99981,34731.30202,35990.38759,37388.5898,38412.64245,38690.56988,39775.27052,40535.66975,41798.71802,42595.42886,43182.38536,44001.42929,44675.14039,44592.14598,44881.32607,45328.25971,46289.1853,46685.09735,47193.17163,47543.08014,48107.06746,48418.55842,49085.93337,49420.94042,48651.73497,49609.2311,51090.26333
Austria,AUT,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37494.56041,38399.67402,38774.49026,38658.64978,39435.21002,40425.39372,41319.375,42136.66228,43597.89007,45060.61875,46469.86106,46878.91624,47419.27841,47633.114,48633.27182,49387.02786,50840.69446,52565.07397,53166.0542,51030.72468,51843.42833,53179.14746,53297.44479,52997.75382,52932.90011,52873.85865,53345.74153,54172.98679,55217.28653,55769.6841,51854.74935,53817.30626,55867.18381
Azerbaijan,AZE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7616.910275,7463.62886,5690.180918,4309.921462,3414.511205,2976.995221,2985.337175,3128.164135,3408.475381,3628.716883,3998.520483,4360.459441,4736.564376,5180.686458,5610.763137,7106.597907,9453.94186,11684.19154,12672.37622,13565.85509,14082.23815,13913.83669,14027.46879,14651.69397,14867.94373,14852.61171,14232.19262,14121.40694,14209.59317,14442.04087,13726.76966,14433.90421,15094.2841
Burundi,BDI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175.155086,1209.388158,1190.067435,1153.541309,1103.167298,956.4909761,880.3094121,867.284265,891.6998437,862.0066804,837.3484115,833.6708787,846.7472952,810.5523352,818.7460633,796.1087131,809.6960107,807.4474806,812.5921698,801.8034274,804.3549408,807.6649576,814.3207708,824.6105226,831.2948386,781.5792873,764.3366022,750.7876163,740.4482225,729.6584626,711.3552634,714.0667124,708.1783134
Belgium,BEL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35506.92651,36023.68428,36426.99315,35935.95739,36981.44895,37784.14989,38208.71867,39562.37298,40252.46891,41583.09739,43024.13991,43347.88921,43890.59811,44160.91143,45540.46691,46342.18661,47212.57777,48590.40054,48423.51548,47064.79002,47972.55884,48154.87115,48210.92466,48204.5857,48748.62059,49456.39858,49829.92739,50442.27054,51113.48174,51977.17368,49030.99129,52174.90682,53287.15361
Benin,BEN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2109.559205,2132.396685,2129.201083,2155.366484,2118.278564,2200.593649,2237.526186,2297.994162,2317.481153,2367.761079,2431.445503,2485.116378,2523.609818,2532.998273,2566.3455,2528.676326,2549.194262,2625.212594,2673.769185,2656.431479,2634.134567,2633.938898,2681.351497,2792.027128,2883.898921,2849.820324,2859.39151,2933.837384,3040.167354,3156.438763,3186.486099,3321.551971,3435.171617
Burkina Faso,BFA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.8447619,1044.17392,1021.144516,1030.559204,1018.122209,1049.083717,1135.25666,1176.383903,1228.122869,1280.92272,1266.744817,1310.072212,1325.70343,1385.455048,1402.784372,1477.039822,1521.154454,1536.385814,1578.345826,1578.148939,1661.872021,1720.082522,1776.390997,1823.594952,1846.645127,1862.854712,1916.756382,1978.155012,2051.218431,2106.036177,2089.567804,2176.093355,2158.858516
Bangladesh,BGD,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730.368941,1756.332621,1818.150761,1867.780934,1903.580828,1964.061122,2017.213522,2070.437442,2137.150039,2194.526472,2267.075343,2337.364578,2382.281466,2451.990227,2537.950709,2663.096251,2806.592685,2973.281318,3124.22679,3253.09133,3395.36478,3571.058639,3756.931924,3932.708322,4119.424631,4337.385893,4589.093522,4830.776291,5124.498743,5467.207509,5591.373766,5911.012983,6263.004635
Bulgaria,BGR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12508.32151,11565.93595,10840.60559,10765.67386,10998.68167,11363.96843,12017.32502,10384.05968,10849.6835,9994.61186,10504.84251,11125.80055,12037.5838,12768.75415,13703.09558,14780.91288,15906.75282,17090.45202,18265.78409,17768.51354,18164.05463,18663.005,18911.9818,18914.89781,19203.32506,19982.86703,20732.57999,21458.04936,22196.01959,23254.78791,22466.91857,24386.1798,26961.29126
Bahrain,BHR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36997.7356,39769.31181,40971.7265,44690.41482,43113.48124,43369.15357,43737.18814,43716.02075,44458.43837,45053.74612,46154.02954,46084.92721,46478.20542,47504.55731,47455.23999,46821.02463,46303.48701,46792.17426,46588.6421,44972.74558,45600.06624,46564.71088,47793.53097,48915.52994,49117.98845,48453.72585,48486.30275,48929.44701,48937.66036,49768.97621,47994.41429,49754.04774,51854.71637
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36161.11013,33973.7946,31988.68848,31397.78198,31743.91319,32519.23635,33294.83102,33154.0806,34142.5222,36024.98766,36972.04107,37412.04763,37920.60639,36944.51716,36770.90649,37504.26422,37918.24726,37928.62343,36523.54102,34498.16345,34539.58237,34321.24091,34999.8274,33681.55801,33996.82628,34023.71943,33484.53334,34067.84618,34810.2775,34324.99667,26132.20752,30463.08334,34663.49645
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730.133153,2096.57809,3802.252662,4933.100532,5609.384218,6091.698669,6826.045789,6965.492594,7309.618475,7618.882463,8180.765557,8600.399252,9146.922878,9803.972573,10506.73042,10363.57316,10636.13207,10933.10792,11046.19335,11483.32393,11767.04842,12437.57056,13000.69563,13582.26698,14267.60619,14851.7385,14587.57005,15893.15632,16737.22601
Belarus,BLR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8895.172171,8784.376835,7923.649887,7305.306473,6458.214178,5805.362811,5988.039352,6698.457482,7293.907779,7575.917878,8053.173155,8477.083508,8961.64059,9660.193113,10839.95562,11940.18589,13214.87078,14417.35267,15942.89673,16014.11457,17300.70265,18274.01963,18611.45311,18805.42974,19119.31214,18362.69525,17883.19032,18356.06606,18974.74522,19288.04069,19239.55314,19872.6925,19092.11117
Belize,BLZ,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6292.179257,6887.227525,7607.84637,7913.541541,7742.927143,7602.623913,7456.46678,7511.722026,7533.846076,7966.565382,8656.330389,8806.73721,8996.232655,9566.36369,9724.235058,9647.656308,9791.170185,9826.604288,9406.425319,9110.684334,8996.430179,8767.314915,8885.545298,9074.462588,9233.085116,9331.312663,9141.245412,8798.699057,8719.990849,8925.190308,7586.023644,8826.859802,9473.705619
Bermuda,BMU,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65961.40628,63958.89625,64385.40741,65967.85001,65904.72042,68313.38185,69643.40752,72403.88044,74677.09242,76772.32385,83181.52634,88231.78386,86364.15374,88727.31127,90195.81156,91114.07699,95615.3607,98257.9927,95855.80069,89961.98274,88399.91595,85829.37826,80982.36776,80503.65029,77361.10488,77842.7539,78149.35254,81834.95587,81423.40845,81681.72667,76117.80474,78570.48951,81165.65094
Bolivia,BOL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4437.866831,4575.706751,4556.993454,4657.030399,4779.839228,4909.178259,5028.444098,5181.416504,5343.957412,5270.027543,5305.619261,5300.314339,5337.765853,5387.581774,5515.655819,5660.57482,5829.371333,5989.689927,6248.933958,6349.007914,6499.818158,6724.300673,6952.738376,7305.227988,7581.598428,7825.766748,8034.172725,8244.933446,8466.2932,8528.748804,7679.933194,8052.600026,8244.235658
Brazil,BRA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10401.84244,10328.95712,10103.78794,10431.40966,10867.75092,11151.19164,11224.39946,11432.65057,11304.097,11196.83853,11529.48662,11536.36383,11739.43184,11733.4112,12268.66383,12520.85499,12877.44418,13518.84778,14067.94581,13916.96323,14824.74115,15271.46935,15425.35293,15751.48445,15695.6431,15011.57719,14402.49401,14477.86177,14619.59113,14685.12789,14109.76397,14735.58178,15093.46512
Barbados,BRB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14086.43109,13509.20624,12700.53361,12762.85297,12983.8173,13215.46786,13715.35669,14341.95676,14853.10484,14873.02512,15505.87152,15098.0115,15155.33033,15424.59636,15583.72308,16141.69698,17057.54024,17346.82988,17383.74133,16438.68397,16011.36433,15846.86826,15757.74859,15515.49741,15480.20907,15822.09959,16190.2363,16233.79215,16063.45373,16077.51476,14003.92203,13869.24226,15417.29644
Brunei Darussalam,BRN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70358.72409,70439.0532,71781.1029,70154.42473,70570.96451,71966.09741,72320.98798,69660.18601,67770.17249,68366.66318,68865.7873,69338.92072,70631.87368,71331.75273,70415.42415,69482.3838,71352.88579,70342.4093,67934.06408,65753.4057,66484.24154,68037.52298,67792.75463,65534.68316,63131.18625,62170.08702,59980.98875,60173.05113,59650.23153,61424.36431,61603.5508,60127.02361,58669.90069
Bhutan,BTN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2895.534888,2836.647218,3085.454598,3298.42577,3458.944892,3659.573241,3791.661754,3926.954599,4082.468358,4301.503709,4323.041037,4559.52389,4931.4401,5186.712446,5368.402312,5643.849869,5949.773196,6955.891702,7203.886097,7602.500151,8416.136592,8988.400048,9346.083142,9442.81607,9886.980598,10445.57585,11196.77034,11619.06451,11931.66317,12530.17115,11176.29042,11595.68311,
Botswana,BWA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9164.756975,9569.340244,9570.428758,9476.541722,9550.710835,9956.683278,10280.49752,10880.716,10689.08256,11473.92062,11461.9352,11262.75746,11725.41237,12054.723,12166.31425,12494.05994,13287.05854,13783.20632,13945.42347,11729.41791,12653.21175,13250.08473,12975.78491,14144.34048,14664.78469,13682.19978,14373.33874,14656.77299,14961.83117,15117.68432,13545.04742,14906.89784,15518.65105
Central African Republic,CAF,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.61339,1157.381663,1049.119415,1019.441006,1036.283901,1080.770061,1010.743889,1035.107458,1054.312973,1062.298258,1007.247834,1028.791408,1042.708645,962.8648368,998.6890997,985.324816,1011.77751,1038.750133,1038.335286,1103.463766,1130.895708,1160.414741,1208.51577,764.0515002,765.259554,795.0370187,818.3959953,839.6000095,854.6474913,861.7667888,847.7650124,838.1929502,823.9821853
Canada,CAN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34562.86635,33423.88452,33327.94746,33840.81826,34976.59287,35549.09303,35749.04525,36910.47786,38031.62476,39671.38465,41338.64702,41623.95034,42416.40875,42793.07925,43704.41391,44680.79649,45396.83966,45889.56213,45851.20193,44004.3141,44862.4195,45823.16424,46126.51389,46704.76224,47564.60911,47522.14067,47457.58535,48317.17458,48962.48151,49175.67705,46181.75755,48218.03832,48974.58659
Central Europe and the Baltics,CEB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13981.979,12634.32126,12376.51342,12572.23334,13084.32181,13847.48858,14507.02905,14790.74644,15193.85094,15482.03767,16182.83269,16810.08443,17543.13784,18305.61551,19458.45611,20482.33443,21890.35117,23379.47916,24445.89434,23663.09284,24037.69173,24958.70936,25237.92855,25457.65013,26339.48088,27454.10088,28285.24224,29831.68043,31383.79622,32665.4026,31622.69702,33926.93099,35819.65655
Switzerland,CHE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56232.02608,55025.01131,54397.88076,53836.80885,54087.51955,53985.64531,54001.05315,55089.32729,56590.11738,57257.31822,59190.41534,59743.81593,59250.16447,58793.1483,59967.91304,61223.39324,63318.79489,65213.18054,66197.86747,63873.95237,65262.34098,65710.91507,65783.58911,66196.94731,66930.86863,67261.59401,67907.39388,68193.50549,69629.33661,69923.93121,67928.19151,71044.86744,72278.20726
Channel Islands,CHI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9701.823791,10290.03966,11256.20948,11812.64938,12221.5077,13122.94634,13825.1562,14652.77519,15074.58011,14855.35718,15415.75429,15725.60116,16053.65461,16636.65375,17571.0248,18415.75499,19339.48762,20140.52965,20695.56256,20255.09878,21225.10386,22323.72308,23467.97873,24011.59101,24197.18328,24464.74566,24599.37463,24546.91242,25071.99007,24809.86097,22970.55043,25412.75207,25886.12136
China,CHN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423.896348,1534.705272,1731.657216,1949.534268,2178.924057,2391.477116,2601.363426,2812.711135,3004.427341,3206.730026,3451.679231,3712.338132,4024.355697,4400.825183,4817.211845,5334.646639,5979.781712,6795.174012,7412.874364,8069.354638,8884.588031,9680.0977,10370.72657,11101.93893,11851.40422,12612.35165,13399.13732,14243.53261,15133.99562,15977.76383,16296.60938,17657.65656,18187.84112
Cote d'Ivoire,CIV,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4351.476782,4191.811913,4028.787996,3876.655889,3770.539306,3898.70676,4055.080381,4294.273473,4329.570071,4249.617975,4123.841569,3930.707787,3728.587439,3467.56166,3495.340422,3451.010241,3470.633522,3433.851206,3522.234003,3572.6816,3737.400732,3464.047037,3652.176767,3962.604598,4234.790413,4423.826797,4620.349156,4836.048367,4941.793811,5132.341569,5092.163471,5316.463901,5537.369758
Cameroon,CMR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3483.186862,3251.755036,3059.792361,2736.282614,2709.080045,2710.938075,2749.520034,2798.577358,2854.370093,2905.131157,2937.991873,2985.577906,3036.767702,3116.15282,3245.495893,3228.361161,3261.451656,3309.282295,3308.319908,3298.407452,3298.624579,3314.898234,3371.975533,3442.200627,3530.283191,3614.755716,3667.322675,3691.094724,3732.501248,3756.509562,3665.510581,3689.358981,3723.532337
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750.169739,1550.763705,1346.747222,1128.593145,1034.123387,998.6883138,969.8086629,900.9677964,865.606612,805.2778814,728.2071969,691.7091451,690.6596075,708.0287711,733.541897,754.6644432,769.8871446,792.1908849,815.011857,811.9273452,841.8562871,870.0738055,900.9789904,944.6402474,999.0721335,1032.571865,1021.327198,1023.539833,1048.246447,1059.892111,1044.071214,1073.643271,1132.65423
"Congo, Rep.",COG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5080.051889,5059.132338,5050.662709,4860.043881,4463.931763,4518.118106,4587.69183,4466.354244,4535.280056,4301.745391,4454.337154,4453.110243,4549.415954,4461.202956,4462.088859,4638.199628,4824.098294,4342.193167,4465.59988,4788.979954,5050.279499,4996.919313,5343.554914,5179.323789,5393.081825,5287.66248,4714.438548,4345.519123,4144.949308,4093.990622,3748.932613,3700.270102,3670.199622
Colombia,COL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8434.959336,8430.222989,8598.992021,8885.186845,9220.501993,9518.260141,9538.272551,9691.028324,9578.656012,9023.621233,9138.318915,9146.404852,9232.627395,9453.328556,9816.277588,10150.70792,10692.72765,11272.57798,11507.52583,11507.71711,11890.20308,12578.01563,12934.96575,13465.07504,13938.23152,14215.68825,14358.16822,14334.91461,14426.43438,14616.13512,13358.29808,14661.21324,15616.75222
Comoros,COM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2922.712252,2695.256074,2856.008564,2876.283755,2666.045372,2703.584351,2611.821747,2659.273978,2636.344308,2633.565756,2863.15185,2871.196853,2878.534359,2881.960707,2881.566744,2905.689183,2923.532301,2888.446634,2942.990846,2976.779454,3025.517384,3084.826585,3115.238033,3185.319697,3183.157031,3150.877624,3185.629664,3240.17917,3294.831972,3290.650527,3222.374089,3228.526858,3245.768697
Cabo Verde,CPV,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816.024743,1801.217693,1949.960948,2066.730606,2402.434728,2678.982292,2914.757833,3166.280533,3485.244683,3795.228889,4255.745697,4278.757832,4434.218352,4553.415327,4950.763113,5225.921711,5574.632262,6345.941443,6718.05638,6549.005428,6597.949384,6774.893742,6766.942931,6733.088796,6703.812356,6691.931432,6900.561009,7130.854152,7314.301283,7743.479164,6073.380353,6356.745034,7379.247565
Costa Rica,CRI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9810.551307,9781.45993,10416.10885,10882.04915,11100.70901,11290.95958,11182.47935,11532.46272,12092.47581,12343.71085,12570.69609,12771.95077,12986.00068,13333.21726,13713.00835,14049.9094,14864.78142,15861.87458,16385.001,16024.03006,16667.01652,17186.44844,17809.94056,18044.94501,18480.65175,18956.19193,19553.59886,20168.22048,20503.2768,20818.06168,19778.38653,21220.16171,22070.92097
Caribbean small states,CSS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10316.41414,10473.38906,10688.14692,10953.28383,11160.28852,11371.15224,11633.28668,11870.32202,12067.64195,12436.69917,12775.08833,12968.7819,13352.48314,14062.50134,14547.95519,14957.21935,15883.73002,16342.64187,16471.26279,15839.05745,15971.75076,16085.31756,16536.15955,16707.97815,16980.72169,16888.31306,16407.42815,16221.3132,16337.94334,16399.71557,15037.80464,15816.34629,18000.14783
Cuba,CUB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
